test1: stopsign longitudinal left,Unnamed: 1,estimated_lateral,estimated_longitudinal,measured_lateral,measured_longitudinal
,,-0.24779580153026026,0.565655360863383,-0.264,0.5
,,-0.28325411402081585,0.35253183297726787,-0.264,0.45
,,-0.29784610001529793,0.47870846037424525,-0.264,0.4
,,-0.23341618555795662,0.4658595579007404,-0.264,0.35
,,-0.21245002387520245,0.21793176816482895,-0.264,0.3
,,-0.2174359940441901,0.3463376129244322,-0.264,0.25
test3: prio longitudinal right,,-0.30596087616113193,1.6412780926936499,-0.264,1.6
,,-0.27946061879256073,1.6322060159994491,-0.264,1.55
,,-0.24743682842982181,1.6896792982653948,-0.264,1.5
,,-0.21522274364388205,1.4254611883997128,-0.264,1.45
,,-0.2879587118922645,1.3246263835642509,-0.264,1.4
,,-0.2732829488331909,1.2610485570374477,-0.264,1.35
,,-0.3193167487003014,1.2184189715034561,-0.264,1.3
,,-0.3238103312040336,1.2422898290585895,-0.264,1.25
,,-0.22337370888029012,1.2341151974816644,-0.264,1.2
,,-0.19618799857145885,1.1776690799330018,-0.264,1.15
,,-0.2676005060790167,1.1827183249036024,-0.264,1.1
,,-0.2138233551053988,1.0513001891877907,-0.264,1.05
,,-0.2459181987476183,1.1453534077157317,-0.264,1.0
,,-0.29625598773025624,0.9235343166762043,-0.264,0.95
,,-0.24593021972457932,1.1720169166589618,-0.264,0.9
,,-0.18709817167670156,0.9125667347765006,-0.264,0.85
,,-0.2657913019554976,0.7142842443583718,-0.264,0.8
,,-0.1857678172092997,0.6429107501938888,-0.264,0.75
,,-0.39498725520448724,0.7482472415243184,-0.264,0.7
,,-0.22290487478123883,0.6276537214674149,-0.264,0.65
,,-0.2596476465880915,0.6714000494092092,-0.264,0.6
,,-0.2789503675232934,0.5973237624573545,-0.264,0.55
,,-0.2594119611732249,0.49271710873431274,-0.264,0.5
,,-0.36337844573004463,0.3653206281931595,-0.264,0.45
,,-0.2749835943918756,0.24851527753141356,-0.264,0.4
,,-0.2461443714244127,0.3053485047932979,-0.264,0.35
,,-0.1901052977629242,0.38563987943234723,-0.264,0.3
,,-0.2899135109136824,0.2714093744130204,-0.264,0.25
test4: prio lateral,,-0.3204246801446594,1.275426122128801,-0.28,1.4
,,-0.16508785217922683,1.417318092585118,-0.14,1.4
,,0.04577010588510371,1.4385317379728837,0.0,1.4
,,0.15643755548298424,1.3116142563798867,0.14,1.4
,,0.2535119898116481,1.4153725105945527,0.28,1.4
,,-0.25433662834433224,1.2058208718446,-0.28,1.2
,,-0.135146122532598,1.0857029702169376,-0.14,1.2
,,0.04843224952664446,1.2357787360348282,0.0,1.2
,,0.1048973453061324,1.2560784526368234,0.14,1.2
,,0.2636168926701116,1.3083051243175277,0.28,1.2
,,-0.2996054076566079,1.1053802052034902,-0.28,1.0
,,-0.21317574740660594,0.8622330632042909,-0.14,1.0
,,0.014806013853228803,0.9062174960084877,0.0,1.0
,,0.15305276360899447,1.0515035267208659,0.14,1.0
,,0.28025567283212305,1.051378595091221,0.28,1.0
,,-0.2917293566687574,0.8515047686306049,-0.28,0.8
,,-0.21076853710252075,1.1852731490654722,-0.14,0.8
,,-0.021032266138267953,0.8570890510693168,0.0,0.8
,,0.12286427417366154,0.91355656401806,0.14,0.8
,,0.23988613653891908,0.8954001763493202,0.28,0.8
,,-0.2880642855833005,0.6651391251305798,-0.28,0.6
,,-0.11979745715927309,0.5684730755359654,-0.14,0.6
,,0.09430929506052652,0.6758969220493267,0.0,0.6
,,0.14872889064159195,0.5227174785462427,0.14,0.6
,,0.2928775195361382,0.5763181393259991,0.28,0.6
